Date,settled_cases,volatility_index,growth_GDP,growth_unemp,lag_vol,growth_HPI,settled_lag,through,crisis,peak
1996-03-31,11,18.88,-0.6359888188494125,0.0,17.01,0.0032623655308139377,17.0,0.0,0,0.0
1996-04-30,7,15.83,-0.5531628519849932,0.01801850550267825,16.95,0.005604512920913685,15.0,0.0,0,0.0
1996-05-31,20,16.07,-0.4749640945172189,0.0,18.11,0.005791205564607438,13.0,0.0,0,0.0
1996-06-30,4,13.68,-0.4167420068831973,-0.05505977718302746,17.14,0.005396706265171858,7.0,0.0,0,0.0
1996-07-31,5,19.46,-0.38209229856229854,0.03704127168034921,20.92,0.004445145899606651,12.0,0.0,0,0.0
1996-08-31,13,17.01,-0.3683779517663055,-0.07550755250814523,19.47,0.0027174092414190554,11.0,0.0,0,0.0
1996-09-30,11,16.95,-0.3707407414249957,0.019418085857101586,21.1,0.0006692400789960473,9.0,0.0,0,0.0
1996-10-31,9,18.11,-0.38476275852569586,0.0,22.14,-0.0008605338230784909,18.0,0.0,0,0.0
1996-11-30,11,17.14,-0.40514549120510424,0.03774032798284721,20.06,-0.0008732423563051483,15.0,0.0,0,0.0
1996-12-31,6,20.92,-0.423697418511523,0.0,19.19,-0.0007901637007670104,12.0,0.0,0,0.0
1997-01-31,6,19.47,-0.4270027512394847,-0.01869213301215278,21.53,0.0004789616203835223,18.0,0.0,0,0.0
1997-02-28,12,21.1,-0.4019143758847008,-0.019048194970694432,21.48,0.0007897854826746098,17.0,0.0,0,0.0
1997-03-31,17,22.14,-0.3422083935250839,0.0,24.76,0.003760861669486637,14.0,0.0,0,0.0
1997-04-30,15,20.06,-0.25738960092550656,-0.019418085857101586,22.91,0.004862140237918311,22.0,0.0,0,0.0
1997-05-31,13,19.19,-0.16388774819419893,-0.04000533461369904,35.09,0.006430586252808901,17.0,0.0,0,0.0
1997-06-30,7,21.53,-0.07824618837440767,0.020202707317519275,27.43,0.006272411473176476,6.0,0.0,0,0.0
1997-07-31,12,21.48,-0.011070850618722261,-0.020202707317519275,24.01,0.005173824805129179,9.0,0.0,0,0.0
1997-08-31,11,24.76,0.03180476716801195,-0.02061928720273576,21.47,0.0035930480111190377,7.0,0.0,0,0.0
1997-09-30,9,22.91,0.04935982911500503,0.02061928720273576,18.55,0.0018554171892875004,4.0,0.0,0,0.0
1997-10-31,18,35.09,0.047049879862001376,-0.04167269640056803,24.22,0.0011231727913996181,25.0,0.0,0,0.0
1997-11-30,15,27.43,0.03266864992799867,-0.021506205220963803,21.18,0.0025773656961556313,16.0,0.0,0,0.0
1997-12-31,12,24.01,0.013590050918011798,0.021506205220963803,21.32,0.0025016585084687293,6.0,0.0,0,0.0
1998-01-31,18,21.47,-0.005146353764800438,-0.021506205220963803,19.71,0.0036203398984584467,19.0,0.0,0,0.0
1998-02-28,17,18.55,-0.01947996908359073,0.0,24.8,0.002417743510574333,24.0,0.0,0,0.0
1998-03-31,14,24.22,-0.025029089114397607,0.021506205220963803,44.28,0.005751536470420149,20.0,0.0,0,0.0
1998-04-30,22,21.18,-0.016129360899299172,-0.08894748601649627,40.95,0.007707953511155274,25.0,0.0,0,0.0
1998-05-31,17,21.32,0.013215497358004313,0.022989518224698857,28.05,0.009171798269960618,30.0,0.0,0,0.0
1998-06-30,6,19.71,0.06734918915898902,0.022472855852058604,26.01,0.00913278870579326,26.0,0.0,0,0.0
1998-07-31,9,24.8,0.1455102474159986,0.0,24.42,0.007334699121933852,35.0,0.0,0,0.0
1998-08-31,7,44.28,0.243275738728002,0.0,26.25,0.006013075669855539,25.0,0.0,0,0.0
1998-09-30,4,40.95,0.35224776672198743,0.021978906718775004,27.88,0.003778039478880224,25.0,0.0,0,0.0
1998-10-31,25,28.05,0.45831063295500485,-0.021978906718775004,23.26,0.002699203850403009,48.0,0.0,0,0.0
1998-11-30,16,26.01,0.546661982635996,-0.022472855852058604,25.07,0.0021497912776755612,50.0,0.0,0,0.0
1998-12-31,6,24.42,0.6070529474960011,0.0,25.39,0.002664530842947599,32.0,0.0,0,0.0
1999-01-31,19,26.25,0.6402887409129931,-0.022989518224698857,21.09,0.0029055501287666985,33.0,0.0,1,0.0
1999-02-28,24,27.88,0.6537773635950117,0.022989518224698857,24.64,0.0028648685708230204,64.0,0.0,1,0.0
1999-03-31,20,23.26,0.6590566666859985,-0.04652001563489283,24.45,0.006752654360923316,38.0,0.0,1,0.0
1999-04-30,25,25.07,0.6708068215920093,0.023530497410193973,25.41,0.008784954131714429,32.0,0.0,1,0.0
1999-05-31,30,25.39,0.7031653491650047,-0.023530497410193973,22.2,0.009747128027845164,13.0,0.0,1,0.0
1999-06-30,26,21.09,0.7657015737660089,0.023530497410193973,24.18,0.010473156805194783,21.0,0.0,1,0.0
1999-07-31,35,24.64,0.8580132922830046,0.0,24.64,0.00856573899731039,33.0,0.0,1,0.0
1999-08-31,25,24.45,0.9732137531660072,-0.023530497410193973,24.95,0.007237419980747006,21.0,0.0,1,0.0
1999-09-30,25,25.41,1.099316255646002,0.0,23.37,0.005124637438411739,10.0,0.0,1,0.0
1999-10-31,48,22.2,1.2190344648570033,-0.024097551579060683,24.11,0.004390530417500038,17.0,0.0,1,0.0
1999-11-30,50,24.18,1.3171021988519982,0.0,26.2,0.00320213614489262,12.0,0.0,1,0.0
1999-12-31,32,24.64,1.388133085687997,-0.024692612590371477,23.65,0.003965702918543812,11.0,0.0,1,0.0
2000-01-31,33,24.95,1.4460754473909958,0.0,19.54,0.004520200731755075,25.0,0.0,1,0.0
2000-02-29,64,23.37,1.5090693161269968,0.024692612590371477,20.74,0.0056937597419208785,9.0,0.0,1,0.0
2000-03-31,38,24.11,1.585358862983,-0.024692612590371477,16.84,0.008859821265589929,15.0,0.0,1,0.0
2000-04-30,32,26.2,1.6589677040959998,-0.05129329438755059,20.57,0.010529199359951669,25.0,0.0,1,0.0
2000-05-31,13,23.65,1.7044043221250007,0.05129329438755059,23.63,0.011258792034975151,12.0,0.0,1,0.0
2000-06-30,21,19.54,1.7016419711659978,0.0,29.65,0.011057147967437508,2.0,0.0,1,0.0
2000-07-31,33,20.74,1.6531576309910037,0.0,26.85,0.00822518337812106,11.0,0.0,1,0.0
2000-08-31,21,16.84,1.5704873997229924,0.024692612590371477,22.02,0.007538671209643688,9.0,0.0,1,0.0
2000-09-30,10,20.57,1.464193689013996,-0.05001042057466143,28.35,0.005747626445566922,7.0,0.0,1,0.0
2000-10-31,17,23.63,1.3365139234239933,0.0,28.64,0.005510578963781043,11.0,0.0,1,0.0
2000-11-30,12,29.65,1.1858717536519947,0.0,25.48,0.005212612779554426,10.0,0.0,1,0.0
2000-12-31,11,26.85,1.0130454024139937,0.0,22.64,0.004615839298357294,7.0,0.0,1,0.0
2001-01-31,25,22.02,0.8290543439320004,0.07410797215372211,19.06,0.0038806854112554134,12.0,0.0,0,0.0
2001-02-28,9,28.35,0.646466190967999,0.0,21.62,0.003911288307591576,9.0,0.0,0,0.0
